页面名称,交互元素,痛点类型,优先级
首页,功能入口区,操作卡顿,P0
首页,功能入口区,渲染失败,P0
首页,功能入口区,跳转失败,P0
首页,Banner轮播,操作卡顿,P0
首页,Banner轮播,渲染失败,P0
首页,Banner轮播,跳转失败,P0
首页,最近阅读,操作卡顿,P0
首页,最近阅读,跳转失败,P0
首页,底部导航,渲染失败,P0
首页,底部导航,操作失败,P0
首页,底部导航,跳转失败,P0
笔记编辑页,保存操作,操作卡顿,P0
笔记编辑页,保存操作,操作失败,P0
笔记编辑页,取消操作,操作卡顿,P0
笔记编辑页,取消操作,渲染失败,P0
笔记编辑页,取消操作,反馈迟钝,P0
笔记编辑页,取消操作,操作失败,P0
笔记编辑页,取消操作,跳转失败,P0
书籍详情页,相关推荐,操作卡顿,P0
书籍详情页,相关推荐,渲染失败,P0
书籍详情页,相关推荐,反馈迟钝,P0
书籍详情页,相关推荐,操作失败,P0
书籍详情页,相关推荐,跳转失败,P0
书架页,书籍列表,操作卡顿,P0
书架页,书籍列表,操作失败,P0
首页,功能入口区,视觉抖动,P1
首页,Banner轮播,视觉抖动,P1
首页,最近阅读,排版错乱,P1
首页,最近阅读,视觉抖动,P1
首页,最近阅读,文案截断,P1
首页,底部导航,排版错乱,P1
首页,底部导航,视觉抖动,P1
首页,搜索入口,渲染失败,P1
首页,搜索入口,跳转失败,P1
阅读页,工具栏显示,操作卡顿,P1
阅读页,工具栏显示,操作失败,P1
阅读页,工具栏显示,跳转失败,P1
阅读页,笔记按钮,操作卡顿,P1
阅读页,笔记按钮,渲染失败,P1
阅读页,笔记按钮,操作失败,P1
阅读页,字体设置,操作卡顿,P1
阅读页,字体设置,渲染失败,P1
阅读页,字体设置,跳转失败,P1
阅读页,退出保护,操作卡顿,P1
阅读页,退出保护,反馈迟钝,P1
阅读页,退出保护,操作失败,P1
阅读页,退出保护,跳转失败,P1
笔记编辑页,保存操作,排版错乱,P1
笔记编辑页,保存操作,视觉抖动,P1
笔记编辑页,取消操作,排版错乱,P1
书籍详情页,加入书架按钮,操作失败,P1
书籍详情页,加入书架按钮,跳转失败,P1
书籍详情页,书籍简介,操作卡顿,P1
书籍详情页,返回导航,操作卡顿,P1
书籍详情页,返回导航,渲染失败,P1
书架页,书籍列表,视觉抖动,P1
书架页,书籍卡片,操作卡顿,P1
书架页,书籍卡片,渲染失败,P1
书架页,分类筛选,操作卡顿,P1
书架页,分类筛选,渲染失败,P1
书架页,分类筛选,操作失败,P1
书架页,分类筛选,跳转失败,P1
书架页,搜索入口,操作卡顿,P1
书架页,搜索入口,渲染失败,P1
书架页,搜索入口,跳转失败,P1
首页,搜索入口,文案截断,P2
阅读页,翻页手势,操作卡顿,P2
阅读页,工具栏显示,视觉抖动,P2
阅读页,工具栏显示,文案截断,P2
阅读页,笔记按钮,排版错乱,P2
阅读页,字体设置,文案截断,P2
笔记编辑页,关联书摘,操作卡顿,P2
笔记编辑页,关联书摘,渲染失败,P2
笔记编辑页,标签选择,反馈迟钝,P2
笔记编辑页,取消操作,动效缺失,P2
书籍详情页,章节目录,跳转失败,P2
书籍详情页,书籍简介,文案截断,P2
书籍详情页,返回导航,文案截断,P2
书架页,书籍卡片,文案截断,P2
阅读页,翻页手势,视觉抖动,P3
阅读页,翻页手势,文案截断,P3
阅读页,进度条,排版错乱,P3
笔记编辑页,关联书摘,视觉抖动,P3
笔记编辑页,关联书摘,文案截断,P3
书籍详情页,章节目录,视觉抖动,P3
笔记编辑页,标签选择,动效缺失,P4
书籍详情页,章节目录,动效缺失,P4
